stage,epoch,train_loss,train_accuracy,valid_accuracy
stage1,1,0.47755667703572885,0.8601472134595163,
stage1,2,0.2766068709124359,0.9221871713985279,0.8700787425041199
stage1,3,0.15338647856530163,0.960217315106905,
stage1,4,0.06199903033028725,0.984577637574483,0.875984251499176
stage1,5,0.013131484060257392,0.9964949176305643,
stage1,6,0.002129235802054447,0.9994742376445847,0.8917322754859924
stage1,7,3.2445735109090555e-05,1.0,
stage1,8,1.8168866237422437e-06,1.0,0.8917322754859924
stage2,1,0.00852086724672149,0.9966383864254842,0.8956692814826965
stage2,2,0.0005896595991476331,0.9995197694893548,0.8976377844810486
